ut,title,year,sport,population,technology,outcome
WOS:000406956500086,Conceptualization of Human Soccer Concepts to Robotic Soccer Architecture,2010,Soccer,Players,"[""Simulation""]","Tactics, Strategy, Team, Performance"
WOS:000619037800001,Performing more than 20 purposeful gameplay headers in a soccer season may alter autonomic function in female youth soccer players,2021,Soccer,Youth,"[""HRV""]","Injury Incidence, Physiology, Performance Prediction, Autonomic function"
WOS:001243808700005,Perceived Soccer Literacy: A Construct Linking Soccer Video Games Play to Soccer Engagement,2024,Soccer,Adults,"[""None""]","Performance, Psychology, Perception, Motivation, Engagement, Perception, Performance Prediction"
WOS:000428596900007,Direct player observation is needed to accurately quantify heading frequency in youth soccer,2018,Soccer,Youth,"[""None""]","Injury Incidence, Performance, Self-reports"
WOS:000296027100005,Soccer-Specific Endurance and Running Economy in Soccer Players With Cerebral Palsy,2011,Soccer,Players,"[""None""]","Performance, Running Economy, Injury Incidence, Performance Prediction"
WOS:000306060600006,"Soccer, images and professionalization: soccer plays with every teenage dream",2012,Soccer,Adolescents,"[""None""]","Motivation, Performance Prediction, Psychology"
WOS:000310926600016,Leadership Power Perceptions of Soccer Coaches and Soccer Players According to Their Education,2012,Soccer,Players,"[""None""]","Performance, Leadership, Perception"
WOS:000073010300002,The biomechanics of soccer: A review,1998,Soccer,Players,"[""Simulation"", ""Biomechanical Modelling""]","Biomechanics, Performance, Injury Incidence, Injury Risk, Injury Severity, Performance Prediction, Running Economy, Fatigue"
WOS:000410003900005,Evidence on soccer-specific stadiums and attendance: The Major League Soccer case,2016,Soccer,Players,"[""None""]","Performance, Injury Incidence, Performance Prediction"
WOS:001335468600001,Assessing visual attention using soccer game videos in elite female soccer player,2024,Soccer,Elite,"[""None""]","Performance, Attention, Psychologically, Perception, Tracking Accuracy"
WOS:000451521400157,Study on Strategies of Basketball Game in Basketball Teaching,2017,Basketball,Students,"[""None""]","Tactics, Strategy, Performance Prediction"
WOS:000238727900004,Injury risk in professional basketball players - A comparison of Women's National Basketball Association and National Basketball Association athletes,2006,Basketball,Professional Players,"[""None""]","Injury Incidence, Injury Risk, Performance, Injury Severity, Lower Extremity Injuries"
